Date,000001.SS,IDX,NZG.NZ,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
2015-01-02,,21.061038970947266,,,5435.89990234375,6547.7998046875,23721.30078125,4726.81005859375,1752.77001953125,42115.46875,,8395.4501953125,,3370.590087890625
2015-01-05,3350.51904296875,20.637523651123047,,7274.75927734375,5450.2998046875,6417.2001953125,23721.3203125,4652.56982421875,1736.6199951171875,41099.37109375,17408.7109375,8378.400390625,1483.25,3328.280029296875
2015-01-06,3351.446044921875,20.637523651123047,,7275.869140625,5364.7998046875,6366.5,23485.41015625,4592.740234375,1716.5799560546875,41329.41015625,16883.189453125,8127.35009765625,1477.5799560546875,3281.949951171875
2015-01-07,3373.9541015625,20.981630325317383,,7307.8212890625,5353.60009765625,6419.7998046875,23681.259765625,4650.47021484375,1709.1800537109375,41813.9296875,16885.330078125,8102.10009765625,1500.75,3298.360107421875
2015-01-08,3293.4560546875,21.07868194580078,,7365.73583984375,5381.5,6570.0,23835.529296875,4736.18994140625,1728.06005859375,42402.30859375,17167.099609375,8234.599609375,1521.6199951171875,3345.110107421875
2015-01-09,3285.412109375,20.981630325317383,,7400.8173828125,5465.60009765625,6501.10009765625,23919.94921875,4704.06982421875,1732.43994140625,42382.41015625,17197.73046875,8284.5,1529.4200439453125,3338.43994140625
2015-01-12,3229.31591796875,20.866928100585938,,7356.46826171875,5422.7001953125,6501.39990234375,24026.4609375,4664.7099609375,1735.0799560546875,41780.78125,,8323.0,1531.2099609375,3344.889892578125
2015-01-13,3235.301025390625,21.04339027404785,,7397.09814453125,5404.7001953125,6542.2001953125,24215.970703125,4661.5,1748.9000244140625,41478.26171875,17087.7109375,8299.400390625,1534.969970703125,3341.070068359375
2015-01-14,3222.43701171875,20.884572982788086,,7488.9541015625,5353.60009765625,6388.5,24112.599609375,4639.31982421875,1742.010009765625,40984.21875,16795.9609375,8277.5498046875,1523.239990234375,3326.159912109375
2015-01-15,3336.455078125,20.893396377563477,,,5331.39990234375,6498.7998046875,24350.91015625,4570.81982421875,1745.0,40998.76953125,17108.69921875,8494.150390625,1523.3800048828125,3338.840087890625
2015-01-16,3376.4951171875,21.07868194580078,,,5299.2001953125,6550.2998046875,24103.51953125,4634.3798828125,1743.5699462890625,41402.01171875,16864.16015625,8513.7998046875,1517.739990234375,3300.679931640625
2015-01-19,3116.35107421875,,,7483.3955078125,5309.10009765625,6585.5,23738.490234375,,1753.31005859375,41285.578125,17014.2890625,8550.7001953125,1535.3699951171875,3307.699951171875
2015-01-20,3173.052001953125,20.946332931518555,,7450.89404296875,5307.7001953125,6620.10009765625,23951.16015625,4654.85009765625,1750.1099853515625,41752.671875,17366.30078125,8695.599609375,1535.0899658203125,3334.02001953125
2015-01-21,3323.611083984375,21.537490844726562,,7472.1787109375,5393.39990234375,6728.0,24352.580078125,4667.419921875,1770.0899658203125,42488.73046875,17280.48046875,8729.5,1537.3599853515625,3354.4599609375
2015-01-22,3343.343994140625,22.119827270507812,,7414.4033203125,5419.89990234375,6796.60009765625,24522.630859375,4750.39990234375,1781.75,43121.28125,17329.01953125,8761.400390625,1560.3399658203125,3370.2900390625
2015-01-23,3351.763916015625,21.98748016357422,,7546.98974609375,5501.7998046875,6832.7998046875,24850.44921875,4757.8798828125,1803.0799560546875,42649.71875,17511.75,8835.599609375,1598.3299560546875,3411.5
