AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-0.8337957962269417,-2.1678106021906394,-1.1000162499900443,-1.3491363052854484,-1.8474907282748376,-2.4282855205912823,-1.5309324646698488,-0.4951767777755327,-1.917276594676179,-1.9111744465978755,-1.883045560646712,-1.5259650838689893,-2.4420330512764914,-2.3139382205177856,-1.7102271714216954,-1.9748984929207707,-1.5603949775443644,-1.8263264353731532,-1.0285059457138146,-2.1052811394964137,-2.7365757183739414,-2.3988649485350515,-1.5592604927143308,-1.6796528679930713,-0.7917681188208059
-0.8748392684875012,-2.194425372775503,-1.0917724876026829,-1.3453771178885303,-1.8864492434892397,-2.399675767698739,-1.4852557927119157,-0.5333087309964325,-1.9117138540189467,-1.909211641173629,-1.8811851285802306,-1.5330413454716754,-2.4495250282098726,-2.326473610485719,-1.7102271714216954,-1.969996665898082,-1.5685485432172874,-1.8653176789001031,-1.027497264161177,-2.1223366693785493,-2.812283174663586,-2.407987328442922,-1.6508035401668952,-1.6773860271819672,-0.8151244655382155
-0.9642730297938809,-2.23480711475192,-1.0870515524183326,-1.3500208846217465,-1.8029701705857728,-2.3840090293888334,-1.4997486591862814,-0.4862498473325535,-1.8621559142030157,-1.8423892992801374,-1.817847054774149,-1.5377599097734032,-2.3888293138232872,-2.216430311021652,-1.6926983755309397,-1.9701301744728807,-1.5334526988016641,-1.9190605001788361,-0.9851198286426021,-2.0910664418262677,-2.788196424517879,-2.4137082938535213,-1.6472134325490928,-1.653382876543522,-0.7552808923570811
-0.9826319934898751,-2.2283830847022132,-1.0214530237601804,-1.354000887113921,-1.8140992233077675,-2.4112561408746043,-1.5344451466166107,-0.5470971278777171,-1.9238502411694232,-1.8574358042342465,-1.832109354528224,-1.5511257880667355,-2.4000708214410897,-2.209464671371005,-1.7978673615210088,-1.9106572602190286,-1.5100554691912484,-1.9243293375000141,-1.0234608715691247,-2.0853807248599043,-2.869066388330137,-2.414635992567951,-1.6472134325490928,-1.6322142796728205,-0.90561997477477
-0.974281268413386,-2.2972137671623423,-1.0361087805275389,-1.358865578855333,-1.8753183278524939,-2.3867337925069534,-1.5427879698031015,-0.5868535948167286,-1.9344700573690228,-1.8642116876814854,-1.8385315754741038,-1.5361866199493237,-2.3993187526870647,-2.1969258296490324,-1.8738181509623162,-1.922148223854036,-1.522817619020998,-1.9390831029033886,-1.0517129118435502,-2.0740101014356553,-2.887993252402548,-2.4248408443142715,-1.6719843631225355,-1.6044327524762179,-0.8253372782724842
-1.0229069287886419,-2.2797768905364797,-1.036320179726041,-1.343166054243073,-2.181402052116036,-2.4201112312369237,-1.5405927471493068,-0.564134552195225,-1.933458514942434,-1.841688271782216,-1.8171826870900925,-1.538152766097098,-2.3753431587591622,-2.2011059037902285,-1.8767359539014579,-1.8242362371316316,-1.4685785498607504,-1.9232758617226575,-1.0799642230760684,-1.9460826854552002,-2.8243261128282198,-2.425459162668253,-1.6371613222755739,-1.558504774284069,-0.8749621334088311
-0.984942745090717,-2.270599518389683,-1.043436658911218,-1.3274664746743434,-1.986620032560948,-2.3295148064172926,-1.5621126060206485,-0.4886852246732559,-1.9329524254338513,-1.8259876176365806,-1.8023005808990622,-1.5204619256374527,-2.340871787262069,-2.1063828694527382,-1.8971886156985018,-1.8560891579356757,-1.4434088294922864,-1.948567058695989,-1.07794623507773,-1.8636401946971732,-2.7572240008315165,-2.427160118748278,-1.6105965319952804,-1.5826973682678278,-0.7348442998832947
-1.0039542124566136,-2.247382267068375,-1.02511696295202,-1.3093343568872637,-2.070099105464415,-2.3472255068373573,-1.5823141913472967,-0.38646346524113884,-1.9435726660271686,-1.832949940760398,-1.8089000340777313,-1.5173166511598044,-2.3288838038656055,-2.10777530703206,-1.9117950614247563,-1.849167063963036,-1.4285196772296413,-1.909577516675832,-1.0799642230760684,-1.9318663667680998,-2.765825849858701,-2.4367463756612953,-1.6210073505247267,-1.570412553549586,-0.6604027990998322
-1.1138202981636045,-2.2250938414710926,-0.9913664694258696,-1.3042487950941257,-2.1591408418141285,-2.281151430385377,-1.578362220594258,-0.2955947253496039,-1.9430667887154447,-1.9111744465978755,-1.883045560646712,-1.5259650838689893,-2.3131488998398906,-2.1439945621630008,-1.8884253545594638,-1.8839104996832492,-1.4558164000310005,-1.9032542312877012,-1.0809729046287062,-1.8693251011550593,-2.695279153458791,-2.431334790611144,-1.601621660984791,-1.5800513322264464,-0.6647786341942195
-1.2075759323989381,-2.1777305131044518,-0.9972146878124041,-1.3197270649593718,-2.114621526068231,-2.281151430385377,-1.5441054290960687,-0.2477305510089937,-1.9177822597910439,-1.9033239406002243,-1.8756041699659916,-1.5074879714031646,-2.327387123658041,-2.0785237626041893,-1.7920196297084328,-1.8886826171556252,-1.4859492162311383,-1.8695325542991263,-1.103170460163897,-1.903436971427807,-2.6522655392406733,-2.421439153337679,-1.5922876040775542,-1.5838315600225057,-0.672080972458537
