AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.050402957430007,-1.5578575876531882,-0.9966877083092207,-1.425174278661358,-1.1823755685278288,-1.7977020826756773,-1.4357643113257597,-0.8992454132583546,-2.3964771040843535,-1.5609931726906496,-1.5901060600245351,-1.4801498221035951,-1.989505573406261,-1.3304207488709614,-1.7439326381522646,-1.2783059654891438,-1.5770111138249954,-1.2920702069482528,-0.8127178280156491,-1.7738876870911813,-2.324548077209641,-2.4777478265968216,-1.30503596913509,-1.375288660418185,-1.0389488412238734
-1.0707069824524362,-1.5693470119276698,-0.9942301231836267,-1.4231867352164465,-1.192803359646268,-1.7844721135844281,-1.4117085217518286,-0.9282881933724066,-2.3908818812117203,-1.5601054791903892,-1.5892234001333816,-1.4839108120913962,-1.9934652172261629,-1.3337718402809673,-1.7439326381522646,-1.2767165608585436,-1.5816524551783795,-1.3051851718672238,-0.8126085729932468,-1.7834563959255043,-2.3714020671571823,-2.4851588552988084,-1.341016609095981,-1.3743282159487227,-1.0662748483671343
-1.1149494704146368,-1.5867795486850431,-0.9928227439382302,-1.4256419701264882,-1.170459019000644,-1.7772273651107438,-1.4193412439114357,-0.8924463154925789,-2.341034560355918,-1.529884573012788,-1.5591734035015354,-1.4864187003086515,-1.9613864464954973,-1.3043539157883053,-1.7323607437721684,-1.2767598506657987,-1.561674472470874,-1.3232619283889786,-0.8080184745079292,-1.7659127778322183,-2.356495208513323,-2.489806572154411,-1.339605531212825,-1.3641582502557468,-0.996260221164884
-1.1240315689247948,-1.5840063364735097,-0.9732668711806304,-1.4277462620994124,-1.173437865511924,-1.7898272097908603,-1.4376142783686578,-0.9387899732426532,-2.4030891357216335,-1.5366894679271823,-1.5659399821771753,-1.4935225832996801,-1.9673277843507813,-1.302491788223212,-1.801789608454237,-1.257475913294521,-1.5483558173325371,-1.3250341369768697,-0.8121713724100542,-1.7627229050729742,-2.406544181985911,-2.4905602353288097,-1.339605531212825,-1.355189265009341,-1.1721510353303917
-1.1199005019957575,-1.6137200967843461,-0.9776359648229948,-1.4303183036502234,-1.1898240144998173,-1.77848737361096,-1.4420080573027179,-0.9690700462494679,-2.4137709636486475,-1.539753912125438,-1.5689869286060092,-1.4855825063395047,-1.9669303025618625,-1.2991397740542543,-1.8519296476775375,-1.2612018282905018,-1.5556205523134066,-1.3299966644108625,-0.8152314831903287,-1.7563436142761906,-2.4182576794727964,-2.4988506650144067,-1.3493416494573165,-1.3434184278078531,-1.0782234376352235
-1.143955402095915,-1.6061927099546334,-0.9776989859899559,-1.4220177099482691,-1.271751601416535,-1.7939220571750276,-1.4408519351080833,-0.9517663388984251,-2.412753514576214,-1.5295675280598233,-1.5588582021468285,-1.4866275010544436,-1.954258772314338,-1.3002572351451005,-1.8538558785289956,-1.2294541219011192,-1.524745467134597,-1.3246797933701193,-0.8182915150046601,-1.6845721592757528,-2.378855226084433,-2.499352987337595,-1.3356545882339377,-1.323959067259835,-1.136282566588311
-1.125174687568029,-1.6022308977728172,-0.9798205116441769,-1.4137170871899367,-1.2196154714236407,-1.7520276757505102,-1.4521854490109012,-0.8943011936885902,-2.4122444698861045,-1.5224667892587425,-1.5517975636707608,-1.4772249269863431,-1.9360400358812555,-1.2749348839849006,-1.867358006318163,-1.2397823484153878,-1.5104178381333109,-1.3331866562208712,-0.8180729372747618,-1.638319231627564,-2.337326929731114,-2.500734845411605,-1.3252134003850506,-1.3342092987625631,-0.9723502116638547
-1.134579576770866,-1.5922081605838114,-0.9743591445912214,-1.4041303419588747,-1.2419598120692645,-1.7602176108408933,-1.462824689236748,-0.8164451220402246,-2.422926724684976,-1.5256155522015078,-1.554928595826841,-1.4755532327382346,-1.9297041722245758,-1.275307124946129,-1.8770006679285913,-1.237537877494109,-1.5019423268189251,-1.3200722636150628,-0.8182915150046601,-1.6765963405733804,-2.342650460167905,-2.5085227281619935,-1.3293053322535004,-1.3290043093796704,-0.8852565832477423
-1.188929845655273,-1.5825863914507334,-0.964297632993254,-1.4014415228236725,-1.2657930773353574,-1.7296630655962761,-1.4607433691063108,-0.7472359520660944,-2.422417893430795,-1.5609931726906496,-1.5901060600245351,-1.4801498221035951,-1.921387993993358,-1.2849896346292415,-1.8615728096076676,-1.248803345932932,-1.5174807321537276,-1.3179453843843283,-0.8184007700270624,-1.6415086496651035,-2.2989903721666956,-2.504126352157601,-1.3216858621228882,-1.3330881919475217,-0.8903761382232568
-1.2353103451272252,-1.562139949016794,-0.9660410717100233,-1.4096251355465876,-1.2538768602316201,-1.7296630655962761,-1.4427019021509815,-0.7107807334555489,-2.3969857219026056,-1.557442722370009,-1.5865755806232114,-1.4703293492481169,-1.9289131499634358,-1.2674872964834805,-1.7979291416360945,-1.250350692580061,-1.5346335572530663,-1.306602873330318,-0.8208050912133968,-1.6606465220554543,-2.2723700160359512,-2.4960871285560025,-1.3180171472362905,-1.3346898478124807,-0.8989195868193728
