000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-1.96054128559184,-2.4599168716921977,-1.8993386331796769,-2.3629125237379984,-2.114358243505767,-2.862633313332842,-2.2512487183572407,-2.3792046779518903,-2.471704278333905,-1.790029785187518,-3.0344421369054557,-1.9799962939974212,-2.762409559880598
-1.9870204414886936,-2.4599168716921977,-1.9587761349584223,-2.452391961529996,-2.1681043062001595,-3.0089325539249065,-2.1000704207376835,-2.4124345291021547,-2.4209715217530063,-1.993503339551488,-3.1574418759390226,-1.9884360306917275,-2.811301548287244
-1.9289564461184523,-2.439803998491694,-1.934717315399167,-2.3359100214337483,-2.1812421493248375,-2.980010149682376,-2.195010621312298,-2.3856499863077305,-2.45496880637637,-1.8074453526479153,-3.147038736201229,-1.9581218368565734,-2.8002781413984166
-1.9705901668539285,-2.4010504454483277,-1.941071352536631,-2.7173886337759923,-2.180730198749352,-3.0108890750918023,-2.16806737488224,-2.4158719491837846,-2.4474538888414576,-2.187358203497698,-3.194973854372655,-1.9785753695462645,-2.861334948166609
-1.766263981171785,-2.4795389550735933,-1.9731600309772948,-2.277934041594695,-1.9896330869470664,-2.9337643097225516,-2.0789951751258244,-2.3825468084127426,-2.397155040703977,-2.087871456622032,-3.051712643660204,-1.9907613112025218,-2.792107788262899
-1.6295411704113048,-2.4731616811198136,-1.9511369538256957,-2.465364201740355,-1.8802639483010497,-2.822135870061001,-2.0818493207762474,-2.396249281037226,-2.398558964727092,-1.8233120761126511,-3.025671096575704,-1.980642168747947,-2.8038575191235484
-1.6578841141429905,-2.444219257816987,-1.905363757816644,-2.4899837311157227,-1.8797524142842101,-2.7774025261770023,-2.010632812294969,-2.3812098396661745,-2.3781356198015073,-1.9339923833070976,-3.0569479112691162,-1.978919792276911,-2.8110941628462918
-1.4154900086020468,-2.383881166514528,-1.8535345545465327,-2.3806500634885386,-1.7722602888954242,-2.5922083588735956,-1.9068104770092182,-2.3015252784673224,-2.252916409770596,-1.7766052600512279,-2.971208576764426,-1.9317689643550102,-2.783211427774553
-1.220772890074459,-2.5354619631504436,-1.8724319586304314,-2.263108808873594,-1.9253081008881303,-2.7581886602815606,-2.0209763030261403,-2.3112652181764104,-2.4457681336107204,-2.2368043974115492,-2.903283560818872,-1.9479595922823298,-2.8620353093809383
-1.0090199969726326,-2.4613883606511027,-1.8769969377356117,-2.144508886057534,-1.9468066925893457,-2.631247242393762,-2.037758623705596,-2.238503287653992,-2.4440091301700817,-2.1450273710582484,-2.8280831530043526,-1.9258267852412718,-2.808396569018948
-1.0129552132557162,-2.508481466426262,-1.8973131849800515,-2.3954746498920567,-2.21212455763627,-2.8682221800479852,-2.1832057745610904,-2.292501613644691,-2.535832737301822,-2.310992148517522,-3.0699346550739124,-1.9583370846371149,-2.9840447552683567
-1.3321208801183586,-2.48787824365586,-1.905199176027273,-2.530752797939959,-2.258704561949806,-2.8407625137230856,-2.1893480409378845,-2.3082573299022,-2.5559522765568143,-2.448669793119733,-3.0622515703503757,-1.9523947741144752,-2.949962936916622
-1.281839852261372,-2.5070098894175152,-1.8974160015212373,-2.436243716716293,-2.2389126110197566,-2.837899710377154,-2.246773507169429,-2.287440773143024,-2.566452930647719,-2.419899667879498,-3.0443011328414227,-1.9436966875199584,-3.0062733083484634
-1.1817812539251407,-2.5403675720456342,-1.916292942728197,-2.559343948863464,-2.459527068451729,-2.9639933404092913,-2.250403902393722,-2.3346117580780685,-2.6304296611808393,-2.5950122484456197,-3.116238005834735,-1.9736233565047971,-3.0955240866593194
-1.358940651952978,-2.489350084814133,-1.9284765145500422,-2.7467734626915408,-2.58356990194888,-2.9253513826548807,-2.2490339682265508,-2.31379549272446,-2.635451697972098,-2.778243700976493,-3.1197057190806663,-1.9880485058414121,-3.044946102110584
-1.3416979478633118,-2.526141447129328,-1.910473576712724,-2.757627720182088,-2.527946825997256,-2.8450098093333027,-2.2864801361799727,-2.3021459723274336,-2.652490626799226,-2.539429993403197,-3.080813547141186,-1.9754750393348395,-3.038850553241567
-1.5902146071081498,-2.5423297627738055,-1.9173827478491183,-2.7099760174154417,-2.4143121268199383,-2.8878485448731976,-2.3640217547437756,-2.316898962025016,-2.6799105709744184,-2.543508192247576,-3.049332886020488,-1.9853788025999715,-3.0371648737184707
-1.7020575213538973,-2.543310726063128,-1.9257725273942388,-2.712623334235811,-2.5601942969904337,-2.9202752908524356,-2.395143370064995,-2.3300285313025615,-2.7325899859337044,-2.4065495889376067,-3.0792498392054912,-1.9871873833103448,-3.095705509342778
-1.6711980018314936,-2.5962904040228008,-1.942006995615335,-2.9625297835516355,-2.9087759869200824,-3.1124591499658236,-2.5207029232203935,-2.3973950877311028,-2.879455437194559,-2.7638774012183784,-3.2003452409313837,-2.0517774865409484,-3.255142803108618
-1.735323396478389,-2.5840266459343493,-1.9383570711727969,-3.0443322610915957,-3.1027735965719243,-3.2227574135205086,-2.524904147574771,-2.4347308433362813,-2.8502656767477417,-2.826387994368786,-3.271330277268297,-2.0665470586082098,-3.2678262433820415
-1.3663595372947583,-2.5001420897941533,-1.911686786790893,-3.1841107184706092,-2.8744811301836095,-3.1071342673724027,-2.4501712424601196,-2.4433724754590975,-2.719592265487152,-2.750477691480221,-3.2403253684770785,-2.0460074530880825,-3.2267674088824956
-1.2994587271883622,-2.560480181096612,-1.8722262000089374,-3.125604758213415,-3.0724031388359774,-3.153773234765296,-2.5738128877814788,-2.432343648922182,-2.801731412866892,-2.5738029513389526,-3.333475881803112,-2.0492369582496126,-3.2934264721273343
-1.3812136632321155,-2.560480181096612,-1.8764828550296824,-3.2394393814892934,-3.071038076154232,-3.266459889913349,-2.5869191023102083,-2.484957507058709,-2.859161148638801,-2.896571992824779,-3.274389965662218,-2.038902436605595,-3.307743983027861
-1.5534273747314298,-2.4648223925375468,-1.9181127578454504,-3.00118086765606,-2.761528754067842,-3.23533977037832,-2.2849504924954487,-2.579633427709872,-2.5338791029034446,-2.865397194980104,-3.2780615253354353,-2.0581502926246706,-3.358555315775042
-1.5680873709172,-2.501613754852742,-1.9423463278629851,-2.710770341725069,-2.69055007676218,-3.031425520428737,-2.272620527540589,-2.555475031895411,-2.4317027333046015,-2.4054837373251177,-3.139627557379886,-2.0161667255247786,-3.140706883553367
-1.307468534960797,-2.4908216618228796,-2.041840601715618,-2.4283017662551853,-2.5141262432523823,-2.89440256792402,-2.2027282423000485,-2.5630186478375236,-2.451697053000762,-1.9346369784049402,-3.087680914158141,-2.026802567779774,-3.188665162547238
-1.2917426028862768,-2.4716901921609087,-2.0305822532253233,-2.4431263526587035,-2.603020691348154,-2.8014125467558824,-2.136260931840016,-2.533942491655346,-2.398937413811584,-1.9060774814220283,-3.0370260729698964,-2.010095240052034,-3.1448051998093693
-1.1693121506501367,-2.4795389550735933,-2.0203213130619173,-2.353382570975219,-2.5827167898426193,-2.796064494333073,-2.153933779409422,-2.5137947106750222,-2.403218248478838,-1.9385662848605214,-3.020095863589689,-2.003550156898537,-3.1216689000739817
-0.9953654933463636,-2.3348261341607235,-1.9187090686765043,-2.1678054033403003,-2.3508406694259083,-2.672962051291676,-1.9888727389621046,-2.389087697794929,-2.269292965499613,-1.6044178701967244,-2.8395742483483617,-1.9585523324176564,-2.9161926716548057
-0.9576758776188606,-2.307354759567592,-1.8790225114743597,-2.08918022303885,-2.4213078127147303,-2.4929096869461937,-2.078492912385389,-2.3909019888620895,-2.2878338314307243,-1.266303833860566,-2.841206015758965,-1.958595434537325,-2.8065810757083858
-1.09417753690409,-2.3397313028067046,-1.8565572855339245,-2.011613710938514,-2.44041744058323,-2.605016336692995,-2.050111444123672,-2.3866527128676567,-2.2824476463959544,-1.276604039846562,-2.77912813870162,-1.9639348410202067,-2.84460511715217
-0.8898570400058761,-2.32844868410726,-1.8064656692559427,-1.912868664275224,-2.39793262431493,-2.415648561433492,-1.9175648086279606,-2.3548554114903064,-2.234322177286556,-1.0828115170224908,-2.6459978298273303,-1.9532560280544438,-2.6705390760148777
-0.8527675909829129,-2.3240337769813353,-1.753012115282041,-1.8448327512552507,-2.4428064044159457,-2.411556997463428,-2.0130075506681724,-2.3550462821374296,-2.274875525497119,-1.0944142287836576,-2.6100976188043017,-1.947184542581699,-2.7045949316091193
-0.9005291986572168,-2.392220455096795,-1.770634669578708,-2.0245859511488735,-2.6748528973187216,-2.6694964525483726,-2.112103264670732,-2.4318660351960215,-2.4150691112389295,-1.578945166640101,-2.787559545651708,-1.9954548429348773,-2.892693209933507
-0.8563358807025576,-2.360824787097163,-1.808563176911784,-2.0836205991890413,-2.396396772588474,-2.622943327474198,-2.0509334046239744,-2.416540433557069,-2.3978177626030868,-1.7358117717887926,-2.7293574066923045,-1.9872734561407812,-2.8230512791478932
-0.7549631732786611,-2.3205999211945754,-1.8280363034106748,-2.0899745473484774,-2.346063158319122,-2.644910984567464,-1.998394269192974,-2.3610142681726773,-2.352524906410886,-1.4353669045647752,-2.675778664062517,-1.993344941613526,-2.817163432338822
-0.7046501460120723,-2.2514318395405835,-1.8119971740639196,-1.8239192069013668,-2.0570289433416225,-2.2550166922816057,-1.8818765602660643,-2.261277215614279,-2.230689763677432,-0.9793700430394975,-2.470847601144732,-1.9379266540670927,-2.554988024363394
