000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-2.4328217249813786,-1.9000066014661279,-1.701596277689525,-1.8706194704255266,-1.469310473021198,-2.243603605372915,-2.0443659212056065,-1.9187295294507438,-1.975193051805661,-1.8379397931763408,-2.1631930398658157,-1.7181170007757665,-1.9602666636130848
-2.4597249410381874,-1.9000066014661279,-1.7958792717295684,-1.9434355733253585,-1.5225771586980226,-2.369664315028516,-1.8288402693805048,-1.9587170820752782,-1.9170945509130113,-2.024428840419779,-2.2644512921991287,-1.7308807554487309,-2.0023912504071024
-2.4007310585046144,-1.8777355937757387,-1.757715865239848,-1.848645517136841,-1.5355978215170434,-2.34474293615461,-1.9641907061524735,-1.9264855710259847,-1.9560278043799013,-1.8539016344733366,-2.2558870159095608,-1.6850353757603314,-1.9928936522241034
-2.443031537740376,-1.8348237397977047,-1.767794984106448,-2.159083161536996,-1.5350904371800456,-2.371350177824228,-1.9257793677490211,-1.9628535440710078,-1.9474218173897389,-2.2021020962580646,-2.295349102004758,-1.715968079338962,-2.045499259807097
-2.235433095369955,-1.921734157023808,-1.818695788945723,-1.8014661313712248,-1.3456977769957814,-2.3048945857437535,-1.7987945808167882,-1.9227513235020341,-1.889820222870529,-2.1109197866149922,-2.1774108044288707,-1.7343973710803091,-1.9858542013649498
-2.0965206869793054,-1.9146725942201013,-1.7837615876470718,-1.953992054247765,-1.2373041340208857,-2.2087084383342783,-1.8028635616916702,-1.9392403635124773,-1.8914279786206059,-1.8684439181183194,-2.155972372391933,-1.7190937832470412,-1.9959775891341103
-2.1253175391852372,-1.8826246155185988,-1.711153657680903,-1.974026804449364,-1.2367971625271237,-2.1701633505234073,-1.7013345416350911,-1.9211424656149192,-1.8680394264630296,-1.969885430268747,-2.181720683886672,-1.7164889637453122,-2.002212570294227
-1.8790415242825178,-1.8158121774335805,-1.6289393600274384,-1.8850538315652066,-1.1302637911734752,-2.0105883037913346,-1.5533213886971198,-1.8252530627435897,-1.7246399962712764,-1.8256358507294317,-2.1111366709742785,-1.6451808623174204,-1.9781892337137004
-1.6812060369991246,-1.9836577683613492,-1.6589154489156772,-1.7894017320190174,-1.2819465244984536,-2.153607464380699,-1.716080623692403,-1.8369737397311499,-1.9454913121623796,-2.2474208779623135,-2.0552181100212166,-1.6696666028506488,-2.046102680279891
-1.466061949477448,-1.90163598288734,-1.6661566667476244,-1.692888115072056,-1.3032533639064776,-2.044226683189603,-1.740006151764427,-1.749414770156747,-1.9434769240263206,-2.1633047368895175,-1.993310158590746,-1.6361942648467038,-1.9998883648565215
-1.4700601877259207,-1.953782233223002,-1.6983834017304282,-1.8971177049605148,-1.5662047805015946,-2.2484193275969697,-1.9473612582038524,-1.814394324005055,-2.048632138929788,-2.31541596982638,-2.1924118852786947,-1.6853609036724266,-2.1512241461983432
-1.7943372502942734,-1.9309682608883614,-1.7108925891063167,-2.0072036396894846,-1.6123693239901562,-2.2247583365363597,-1.9561179116745335,-1.8333541601516383,-2.071672776737472,-2.4416012760635692,-2.1860868659107937,-1.6763741074667209,-2.121859774610207
-1.7432509784635435,-1.9521527543040984,-1.698546494913179,-1.9302945402006355,-1.5927539033198703,-2.22229156350369,-2.037985886349444,-1.8083042989559,-2.0836979908632016,-2.415232673706879,-2.1713093554456786,-1.6632196398052466,-2.170375926357914
-1.6415899549827702,-1.9890897547484607,-1.7284901244744477,-2.030470395036228,-1.8114006352044367,-2.330941836878822,-2.043161518761098,-1.8650680874517205,-2.156963320533594,-2.5757281170198727,-2.2305306358716352,-1.7084789500108812,-2.2472730270877803
-1.8215865372077895,-1.9325980323003396,-1.7478163679249465,-2.182995791955869,-1.934337094009347,-2.297645473908726,-2.0412084874134373,-1.840018576922479,-2.1627144925310113,-2.743664727329387,-2.2333853946348246,-1.730294685965966,-2.203695811895197
-1.8040676935054103,-1.9733371502221437,-1.7192591299855464,-2.191828712119831,-1.8792101367112757,-2.2284180759620345,-2.0945931986027593,-1.8259999823816793,-2.1822272548642414,-2.5247854683847506,-2.2013678197116473,-1.7112793247418543,-2.198443980546992
-2.056564313995291,-1.9912624908046905,-1.7302188325568153,-2.153050961860892,-1.7665889790001241,-2.2653306489942198,-2.205139541217317,-1.8437531751129264,-2.213628222572324,-2.528523248556404,-2.1754516937716626,-1.7262571859280378,-2.1969916249424917
-2.170198377637555,-1.992348712586268,-1.743527156614485,-2.155205281319722,-1.911169982980076,-2.2932715910894883,-2.2495077245714876,-1.859552804790748,-2.2739560116242727,-2.402996963222142,-2.200080513462282,-1.7289923755825962,-2.247429338087288
-2.1388446470143223,-2.051013171090619,-1.7692791519831772,-2.3585728278505096,-2.256642569795555,-2.458869399841886,-2.4285102994303873,-1.9406191841777203,-2.4421444391064644,-2.730497622824435,-2.2997710399683426,-1.8266745974098513,-2.3847980632776404
-2.203997001327798,-2.0374334976159147,-1.763489443564014,-2.4251416147024942,-2.448909857431826,-2.5539093831064212,-2.434499728017018,-1.9855476277415416,-2.4087167005472288,-2.7877902817927294,-2.358208730794101,-1.8490112177712863,-2.3957259207458375
-1.8291242350116053,-1.944548031860757,-1.72118358971461,-2.5388897873200955,-2.2226535990219993,-2.4542811430891995,-2.3279575963669314,-1.9959466427028296,-2.25907118919673,-2.7182164243649165,-2.3326842629975006,-1.817948342774815,-2.3603502591312604
-1.761152017329176,-2.0113604699457754,-1.6585890634132003,-2.4912791168971937,-2.418810282784273,-2.494468237043749,-2.504225927339106,-1.9826749678001194,-2.353135885242836,-2.556289219309116,-2.409369451579657,-1.822832453866178,-2.4177826849084747
-1.8442162478002477,-2.0113604699457754,-1.6653412008338708,-2.5839148536268817,-2.4174573955000236,-2.5915662100693866,-2.5229106557276513,-2.0459885051223416,-2.4189036806451685,-2.852115825447314,-2.360727587353369,-1.8072031393858259,-2.4301184325485026
-2.019187938984767,-1.905438490355548,-1.731376814068043,-2.3900261023321865,-2.110708678531354,-2.5647511402352805,-2.092412479165127,-2.1599179459192643,-2.0463948619220416,-2.823543275239336,-2.3637501605618048,-1.8363124494397474,-2.473896696967329
-2.03408271305967,-1.9461776082773523,-1.7698174192273473,-2.153697362889921,-2.0403630810259976,-2.3890456823429154,-2.074834402313354,-2.1308466413387324,-1.9293837964799334,-2.402020081227146,-2.2497858402397974,-1.7728190052520316,-2.286201831404953
-1.7692901011077804,-1.934227511219243,-1.9276406410643843,-1.9238315818241456,-1.8655128238285121,-2.270978011164674,-1.9751932463326112,-2.1399243449402454,-1.9522810344579833,-1.9704762192095024,-2.2070213079851344,-1.788904019062319,-2.3275219484999337
-1.7533123203226386,-1.9130432127988892,-1.909782037121667,-1.9358954552194538,-1.9536143960693795,-2.1908519078991686,-1.8804348674017268,-2.1049351925604656,-1.8918613736488874,-1.944300663379933,-2.165320238281699,-1.763636852552071,-2.289732877788246
-1.62892116067721,-1.921734157023808,-1.8935055764475142,-1.8628642359478782,-1.9334915910620958,-2.186243686551154,-1.9056299651900837,-2.0806901109747815,-1.8967637304987488,-1.9740775354568123,-2.151382619983102,-1.753738458951505,-2.269798997043006
-1.4521887707916559,-1.7614934835347635,-1.7323227147006022,-1.7118462315011393,-1.7036836422932835,-2.0801708097041196,-1.670312536078251,-1.9306223836882108,-1.7433942174444077,-1.6678214242715292,-2.002770082986295,-1.6856864315845217,-2.0927638323824813
-1.413895560881003,-1.7310743987660155,-1.6693697418436966,-1.6478630487652697,-1.7735222683048781,-1.9250262666927906,-1.798078535549548,-1.9328056332970114,-1.7646269788484028,-1.35793071295495,-2.0041134184885525,-1.6857516166609365,-1.9983241636851834
-1.5525832760849387,-1.7669249824334174,-1.6337341801181247,-1.5847413834301725,-1.7924614517546573,-2.0216244702583133,-1.7576168122521123,-1.9276922144413209,-1.7584587889620213,-1.367371131916244,-1.9530084536424595,-1.693826616736793,-2.031085094182342
-1.344990613603565,-1.7544317257356739,-1.5542761373394498,-1.5043851624244358,-1.7503555701188431,-1.8584531780594797,-1.5686531814780231,-1.889428538314837,-1.703346120176657,-1.1897550134121346,-1.8434103153445736,-1.6776766165850798,-1.881112464785616
