000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-1.1793878491552268,-3.1728941628085234,-1.939633334675935,-2.3458401287904462,-2.430498951788431,-3.3343276619021625,-1.7640546062132896,-2.791888727481645,-2.8991164444673827,-1.2009829229237428,-2.3398645331445587,-2.247068375923534,-3.452284677175348
-1.1949099108909642,-3.1728941628085234,-1.972670747913257,-2.4052996988001714,-2.472668730372434,-3.4793540201203217,-1.702732168653351,-2.8203104624629827,-2.8552463001970305,-1.244268465457334,-2.404008831107263,-2.2530764284217355,-3.504359172449529
-1.1608728394574463,-3.1481280887215064,-1.9592980263150301,-2.3278968200726426,-2.482976833103406,-3.4506832564086802,-1.7412427526018217,-2.7974014469077515,-2.884644777270692,-1.204687789083918,-2.3985835993113924,-2.2314964580270287,-3.492618223295177
-1.1852784959693787,-3.1004087322556617,-1.9628298192799685,-2.5813914196979098,-2.4825751507971705,-3.4812935184968223,-1.7303137662798092,-2.8232505130258887,-2.8781464014942704,-1.2855077949855205,-2.4235817377385507,-2.2460568528147284,-3.5576493766420643
-1.0655026360159703,-3.1970559007124395,-1.9806658133604407,-2.2893714681349606,-2.332638160276269,-3.404839780222674,-1.6941834189092182,-2.7947472761342365,-2.834651470937813,-1.264343679447871,-2.3488710931580004,-2.2547317416012707,-3.4839160405938885
-0.9853558247817077,-3.1892032166310544,-1.9684246275965567,-2.4139198225291985,-2.246825876930965,-3.2941825682496377,-1.6953411457204797,-2.806467101292677,-2.8358654863706323,-1.2080631649923421,-2.3352904403149717,-2.2475281591548097,-3.4964305920391436
-1.0019704375771268,-3.1535648375377248,-1.9429823067302925,-2.4302796328568412,-2.246424521461431,-3.249838428607065,-1.6664536005943258,-2.7936037569766734,-2.8182048042245746,-1.2316085203564417,-2.3516012824092876,-2.2463020393557604,-3.5041382877500773
-0.8598791909663356,-3.0792672658000138,-1.9141738481821888,-2.3576268198182686,-2.162084964293424,-3.0662555505376736,-1.624340157242098,-2.7254489683723935,-2.709923977798045,-1.1981270832270483,-2.306888265432138,-2.2127364602684962,-3.4744405928302458
-0.7457361591203211,-3.2659169404750457,-1.9246776770637666,-2.279520020867937,-2.282168036819068,-3.230791733717665,-1.67064922969256,-2.7337796101165925,-2.8766886781186636,-1.2960266328584447,-2.2714654060328665,-2.2242621921828345,-3.558395326191967
-0.6216067687329884,-3.174706087152259,-1.9272150498772977,-2.20070973117633,-2.2990360789873505,-3.104954774695777,-1.677456640730926,-2.67154579821394,-2.8751676148074314,-1.2765026294062998,-2.2322484336744535,-2.208506360993819,-3.501265100514465
