000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-1.4021615024552028,-3.543910684425251,-2.0731169966719025,-2.393249703960002,-2.4170534212864663,-2.954375719488466,-1.6377614058531262,-3.1037271111484674,-2.9155835536668238,-1.3225362313189446,-2.124671071541449,-2.3868073206141887,-3.693902425341795
-1.4181842483677807,-3.543910684425251,-2.103806887672708,-2.4466388199538636,-2.4537302790789344,-3.0714234486920406,-1.593557572398626,-3.1338247715484773,-2.8758198818384844,-1.3589721034530107,-2.1731972016586845,-2.3925063848008454,-3.7479504858869057
-1.3830492671731187,-3.5166857378599996,-2.091384384576428,-2.377138295984939,-2.462695676353214,-3.0482838771809657,-1.621317646962359,-3.1095648954102812,-2.9024665093810347,-1.3256548252370228,-2.169092931873151,-2.3720362513487148,-3.7357645678590816
-1.4082421597010495,-3.464228617472402,-2.094665220771222,-2.604752666236815,-2.4623463160928987,-3.0729887771161466,-1.6134395665985026,-3.1369381861046017,-2.8965764151930955,-1.3936855631819158,-2.1880044011156743,-2.385847819157586,-3.8032603293619993
-1.2846027744719986,-3.570471293952886,-2.1112338519255016,-2.3425461439904187,-2.3319397106085678,-3.0112845699357376,-1.5873952682735741,-3.106754217925696,-2.8571528351340665,-1.375870538524157,-2.131484670208864,-2.394076566829384,-3.7267325821425143
-1.2018707241830033,-3.5618389647529347,-2.099862481712116,-2.454378882412694,-2.2573051021570882,-2.9219754571608108,-1.588229807231697,-3.119165118167988,-2.858253212442326,-1.3284960687055158,-2.1212107012378265,-2.3872434576399173,-3.739721421124952
-1.2190212628027504,-3.522662268314127,-2.0762280025661797,-2.4690684573806467,-2.2569560261606134,-2.886186232964464,-1.5674064302676332,-3.10554326963954,-2.8422456615030636,-1.3483155166593386,-2.1335500996088346,-2.386080395992669,-3.747721229903788
-1.0723466792579401,-3.440988143728208,-2.0494665716275207,-2.403833046798931,-2.183602310575677,-2.738020345999591,-1.5370492606864692,-3.0333696432443538,-2.7441004805619635,-1.3201323106578278,-2.099724027008759,-2.3542410620757477,-3.7168980254804684
-0.9545218162921398,-3.6461691264546228,-2.0592240354201934,-2.3337004685043614,-2.2880436883157156,-2.870814045363338,-1.5704308190113767,-3.042191512363029,-2.895255142266184,-1.4025398597738878,-2.072926098916491,-2.3651740367788943,-3.8040345495675814
-0.8263884718743529,-3.545902503688376,-2.0615811114574814,-2.262936221518269,-2.3027145451382394,-2.7692536774111973,-1.575337891785549,-2.97628800093862,-2.893876458349276,-1.3861054095697496,-2.0432578670718637,-2.3502285127031293,-3.7447391520775857
-0.8287697022602649,-3.609648109576666,-2.0720711790884905,-2.4126783366508664,-2.483770144716931,-2.9588471313370963,-1.6178659644923032,-3.025196534127285,-2.9658466020227943,-1.4158246103237107,-2.138673658606783,-2.3721816007786525,-3.9389109195681566
-1.0218993625892876,-3.581759421898661,-2.0761430225951956,-2.4933938721502433,-2.515556811656505,-2.936877833512923,-1.6196619347091148,-3.03946714265734,-2.981616034046406,-1.4404784532770425,-2.1356425109643125,-2.368168962670118,-3.9012348862998585
-0.9914739163736296,-3.607656171128569,-2.0721242672625837,-2.437003751420463,-2.5020505837896465,-2.9345874277019184,-1.6364528748461322,-3.0206127200719943,-2.989846309540855,-1.435326606356144,-2.128560664506223,-2.3622954436731702,-3.963483660867025
-0.9309276699692789,-3.652809398021504,-2.081871165277018,-2.5104531687967127,-2.652600125031467,-3.035469517059106,-1.6375143855814396,-3.0633374460687777,-3.0399904351318336,-1.4666838980421213,-2.1569413593477615,-2.3825038949098634,-4.062146685772507
-1.0381282178901654,-3.583751717901676,-2.0881620166759345,-2.622285521584866,-2.7372482115381724,-3.0045537488785596,-1.6371138231811297,-3.0444832874215937,-3.043926641960237,-1.4994950306545287,-2.1583094492762727,-2.392244702585408,-4.00623482658602
-1.0276945217576041,-3.6335528011735043,-2.078866400551652,-2.628761861026528,-2.699290460879161,-2.940275912029396,-1.6480629091133434,-3.033931831528903,-3.05728153177601,-1.4567308211227192,-2.1429656232575685,-2.383754272698173,-3.999496450728033
-1.1780739107998308,-3.655465435137273,-2.082433873994112,-2.6003298284937864,-2.621744990698121,-2.974549341587917,-1.6707357189462233,-3.0472942288443408,-3.0787729258025722,-1.4574611014389773,-2.1305458029415045,-2.390441943721786,-3.997633002095791
-1.2457509396319615,-3.6567932749176983,-2.0867658430717997,-2.6019093858567164,-2.721296461849106,-3.0004925861801026,-1.6798355350055107,-3.059186226660612,-3.1200623630364763,-1.4329360167248433,-2.1423487057311648,-2.391663216129742,-4.062347241006592
-1.2270776011683866,-3.728506992153296,-2.09514832963754,-2.751019446663669,-2.9591721392415957,-3.154250624894228,-1.7165485663314086,-3.1202029230200297,-3.2351735850641083,-1.4969224670471226,-2.1901235324659263,-2.435278693420913,-4.238598540809187
-1.2658803828345904,-3.71190667079101,-2.093263731867606,-2.799828000558682,-3.09155807384926,-3.2424955209847792,-1.7177769848583404,-3.1540194721192414,-3.212295032164972,-1.5081161967982561,-2.2181287065965942,-2.445252077931541,-4.252619556729356
-1.0426174438779174,-3.5983598624459185,-2.079492828041803,-2.8832287064482154,-2.9357689814942303,-3.149990415385872,-1.6959254298185271,-3.1618465583062427,-3.1098749195544912,-1.4945229900626111,-2.2058965811457822,-2.4313823880978784,-4.207230722172538
-1.0021352364444178,-3.680033987031838,-2.0591177942512826,-2.8483203344738115,-3.0708329657458586,-3.1873042469795667,-1.7320776737839911,-3.1518572906981013,-3.1742545101935176,-1.4628859635152118,-2.2426465284681325,-2.4335631619624367,-4.280919545301844
