Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2014-10-24,23.615184783935547,43.42442321777344,14.352999687194824,64.96870422363281,14.395275115966797,139.39999389648438,109.4530029296875,81.87068939208984,81.5492172241211,26.91510581970215,27.44499969482422,79.29805755615234,83.17906188964844,47.40467834472656,31.742578506469727,70.52619171142578,80.66999816894531,40.121971130371094,4.42106819152832,20.65401268005371,68.04244995117188,15.682666778564453,81.09080505371094,50.5567512512207,65.41268157958984
2014-10-27,23.590497970581055,43.568485260009766,14.498499870300293,64.7464828491211,14.28335189819336,139.52999877929688,109.85574340820312,81.24205780029297,81.40196228027344,26.96446990966797,27.493999481201172,79.69878387451172,83.93721771240234,47.323978424072266,31.53369903564453,70.63102722167969,80.27999877929688,39.93063735961914,4.423458099365234,20.597259521484375,68.67366027832031,14.777999877929688,81.52438354492188,50.540164947509766,64.8727035522461
2014-10-28,23.956323623657227,43.88539505004883,14.779500007629395,66.83403778076172,14.464154243469238,140.4600067138672,109.97321319580078,82.73240661621094,82.76403045654297,27.369855880737305,27.94700050354004,80.63375854492188,84.51793670654297,48.12294006347656,31.378969192504883,72.43231201171875,80.7699966430664,40.43510437011719,4.528722763061523,20.639829635620117,69.08915710449219,16.184667587280273,81.9756851196289,51.32168960571289,65.8349609375
2014-10-29,24.090991973876953,43.20115280151367,14.706000328063965,67.37379455566406,14.627737045288086,139.99000549316406,110.70323181152344,82.739501953125,82.39591217041016,27.39129638671875,27.922500610351562,80.49186706542969,85.13899230957031,47.84853744506836,31.688430786132812,72.42276000976562,75.86000061035156,40.54816818237305,4.5000152587890625,20.92363166809082,69.14506530761719,15.873332977294922,82.25886535644531,50.83620834350586,65.4819107055664
2014-10-30,24.010194778442383,44.065467834472656,14.953499794006348,65.39734649658203,14.662178993225098,139.5399932861328,111.60108184814453,82.78186798095703,83.03094482421875,27.440162658691406,28.013500213623047,81.41014099121094,86.33267974853516,47.92925262451172,32.028831481933594,79.22760009765625,74.11000061035156,40.05240249633789,4.471306324005127,21.171968460083008,69.46467590332031,15.910667419433594,83.07296752929688,56.04391098022461,65.38496398925781
2014-10-31,24.239120483398438,45.707637786865234,15.27299976348877,68.46121215820312,14.774100303649902,140.16000366210938,111.91156005859375,84.7242660522461,84.09849548339844,27.87746238708496,28.39349937438965,81.41014099121094,86.92950439453125,48.80891418457031,32.40018081665039,79.81848907470703,74.98999786376953,40.83518600463867,4.674657821655273,21.250011444091797,69.72835540771484,16.113332748413086,84.07288360595703,57.17591857910156,66.94953155517578
2014-11-03,24.553329467773438,45.556396484375,15.28600025177002,68.53267669677734,14.868805885314941,140.80999755859375,112.66675567626953,82.48519897460938,84.40220642089844,27.68499183654785,28.188499450683594,80.21635437011719,86.67140197753906,49.131717681884766,32.34601593017578,80.18064880371094,73.87999725341797,41.26137161254883,4.753603458404541,21.420291900634766,69.81622314453125,16.172666549682617,83.94014739990234,57.20198059082031,65.94572448730469
2014-11-04,24.373775482177734,45.131439208984375,15.14050006866455,67.75479125976562,14.817144393920898,142.17999267578125,114.57994079589844,81.48926544189453,83.15056610107422,27.629642486572266,28.20949935913086,80.10785675048828,87.60701751708984,48.623287200927734,32.35375213623047,80.04723358154297,75.76000213623047,41.374427795410156,4.815805435180664,21.484149932861328,70.82296752929688,15.928667068481445,84.04633331298828,57.540626525878906,65.4334487915039
2014-11-05,24.432132720947266,45.04501724243164,14.826000213623047,68.82635498046875,14.929075241088867,142.9199981689453,114.5379867553711,82.67591857910156,83.748779296875,27.221263885498047,27.797500610351562,79.95758819580078,87.76831817626953,49.3496208190918,32.73284149169922,81.9533462524414,74.83000183105469,41.62665557861328,4.815805435180664,21.498462677001953,71.110595703125,15.39799976348877,84.77193450927734,59.09418869018555,65.81417846679688
2014-11-06,24.502010345458984,45.167442321777344,14.831999778747559,69.55662536621094,14.946292877197266,143.2899932861328,115.03302001953125,83.72126007080078,84.66909790039062,27.027795791625977,27.58449935913086,81.21813201904297,87.92153930664062,49.41416931152344,32.717369079589844,81.724609375,75.26000213623047,42.357269287109375,4.83733606338501,21.498462677001953,71.03069305419922,16.08133316040039,85.13472747802734,59.22679901123047,66.63799285888672
