Date,AUDUSD=X,CNY=X,EURUSD=X,GBPUSD=X,HKD=X,IDR=X,INR=X,JPY=X,MXN=X,MYR=X,NZDUSD=X,PHP=X,RUB=X,SGD=X,THB=X,ZAR=X
2006-05-16,0.5707264031456617,2.591415010876411,-0.18349142915769662,-1.4503727565952458,-0.842791310142634,-0.9964647332339206,-1.096485693729796,0.5441157825452317,-1.2495237206513838,0.0472820133225991,1.361306590549998,1.4130917846136208,-1.0168061074864747,2.148872140527754,2.5045268601628923,-1.589877052447968
2006-05-17,0.6409101571177324,2.587769195816291,-0.10085850636877264,-1.4317428230625413,-0.8168473938513622,-1.1188893334942045,-1.1399596935940055,0.6204017234720232,-1.1799621809785559,-0.004996784197265214,1.4070318518086917,1.4130917846136208,-1.0210868220171023,2.2053370300450283,2.625359031404328,-1.533138201822872
2006-05-18,0.5989913012942254,2.604896773379987,-0.1842457085262765,-1.472711253560966,-0.797398943171532,-1.0333550400587204,-1.0493067845087034,0.6197416426740443,-1.1884961687259876,0.035316931904752685,1.419464944680418,1.4130917846136208,-1.016222846942572,2.1884196608379565,2.544185084087492,-1.5254476734572617
2006-05-19,0.6615118568076134,2.6223702620033364,-0.12007696169789184,-1.4223113336838213,-1.160767582188143,-0.9961181325575961,-1.0614981297544228,0.6697283860812292,-1.1937080372978026,0.09272314842625234,1.4241964833891656,1.5840866429860634,-1.011076828030166,2.2353632049879133,2.5837491771770775,-1.5076402039192005
2006-05-22,0.6962371401458676,2.633279043547159,-0.18575500034820974,-1.4415912780105542,-0.8006299408546341,-0.9653335938858596,-1.0620790368564768,0.6566067795444839,-1.1496980098882348,0.1256320959920762,1.4070318518086917,1.5914708310017902,-1.0103979154756428,2.247544041795522,2.6561758650674645,-1.4837166753332767
2006-05-23,0.7187685591045038,2.6223702620033364,-0.13232724589596753,-1.4111446912267165,-0.8006299408546341,-0.9298801831078658,-1.0516267490558353,0.701123597713402,-1.1013143455642846,0.13523362003019623,1.3904303004281757,1.5914708310017902,-1.0181674294430525,2.2512906680315408,2.6621613920354106,-1.4312447384358882
2006-05-24,0.698861511548375,2.6223702620033364,-0.12545027588535515,-1.3889972026655693,-0.7714597107831914,-0.9079269225357006,-1.016935042417501,0.7401794225759181,-1.168123164435715,0.14192549181225814,1.2197750570838397,1.6135953295957315,-1.016222846942572,2.2784210011902823,2.7261561054477195,-1.4688339397664851
2006-05-25,0.6271421605271226,2.6223702620033364,-0.15298565699275934,-1.405500666113127,-0.7455231546070713,-0.9192332266756688,-1.0066868753193616,0.6762801284092055,-1.2037303020361654,0.11892675199552068,1.1378570626761155,1.6135953295957315,-1.012337999604486,2.194060553387114,2.647621083843538,-1.5024767836695403
2006-05-26,0.6530670130059332,2.6314623471968352,-0.09861457910121044,-1.3445062537327301,-0.8265721834455588,-0.9307351349457689,-1.0082976052900834,0.734334541438281,-1.2116802381946774,0.15529215142091637,1.196182906794678,1.6123678076184464,-1.0115617938237813,2.2043975575311854,2.6574579630524924,-1.5003813333708393
2006-05-29,0.6446121532783796,2.6270982301086803,-0.10784242267051858,-1.345305483237741,-0.7909061547390002,-0.9363241034181297,-0.9813252346880309,0.7284844928544467,-1.1837069474817623,0.12071567049272053,1.2215877352973321,1.6135953295957315,-1.0113678707648082,2.2072146770998797,2.6133588531689775,-1.4934056611369393
